ID;Hora_de_inicio;Hora_de_finalizacion;Correo_electronico;Usted_nacio_entre;Sexo;Sede__0;Usted_labora_en_la_sucursal_Barranquilla_en;Usted_labora_en_la_sucursal_Bogotá_en;Usted_ingreso_a_trabajar_en_West_Army_Security_Ltda_en_el_ano;Nivel_academico_alcanzado_hasta_ahora;Estado_civil;Tiene_hijos;Es_usted;Cargo_por_favor_escriba_su_respuesta;En_mi_trabajo_me_siento_lleno_de_energia;Mi_trabajo_esta_lleno_de_significado_y_proposito;El_tiempo_vuela_cuando_estoy_trabajando;Soy_fuerte_y_vigoroso_en_mi_trabajo;Estoy_entusiasmado_con_mi_trabajo;Cuando_estoy_trabajando_olvido_todo_lo_que_pasa_alrededor_de_mi;Mi_trabajo_me_inspira;Cuando_me_levanto_por_las_mananas_tengo_ganas_de_ir_a_trabajar;Soy_feliz_cuando_estoy_concentrado_en_mi_trabajo;Estoy_orgulloso_del_trabajo_que_hago;Estoy_inmerso_en_mi_trabajo;Puedo_continuar_trabajando_durante_largos_periodos_de_tiempo;Mi_trabajo_es_retador;Me_dejo_llevar_por_mi_trabajo;Soy_muy_persistente_en_mi_trabajo;Me_es_dificil_desconectarme_de_mi_trabajo;Incluso_cuando_las_cosas_no_van_bien_continuo_trabajando;Poseo_las_herramientas_de_trabajo_necesarias_para_desarrollar_mi_trabajo;El_proceso_para_obtener_nuevas_herramientas_o_remplazar_las_existentes_es_facil_y_rapido;Tengo_puesto_de_trabajo_;Mi_puesto_de_trabajo_esta_en_adecuadas_condiciones;Tengo_claras_las_normas_de_seguridad_y_salud_en_el_trabajo;Hago_pausas_activas_diarias;Dimension_Ciclo_de_vida_del_colaborador_en_la_compania;Recibi_entrenamiento_al_cargo;Recibi_Induccion_de_la_empresa_(sistemas_de_gestion_vision_mision);He_recibido_capacitacion_que_fomente_mi_crecimiento_profesional;He_recibido_capacitacion_que_fomente_mi_crecimiento_personal;Se_con_claridad_que_debo_hacer_y_como_miden_mis_resultados;"Que_tan_importante_es_para_mi_que_la_empresa_mejore_en_la_forma_en_que_se_contrata_capacita_y_despide_el_personal
";Dimension_Salario_economico;Recibo_el_salario_de_forma_puntual_y_completo;Dimension_Expectativas_a_futuro;Dimension_Balance_vida-trabajo;La_compania_fomenta_el_equilibrio_entre_vida_personal_y_vida_familiar_;Dimension_Cultura;Muestro_un_sentimiento_de_orgullo_sobre_el_lugar_donde_trabajo;Recomiendo_a_otras_personas_sobre_las_vacantes_que_existen_en_esta_compania;La_empresa_donde_trabajo_tiene_buena_reputacion_en_el_sector;Que_tan_urgente_es_para_mi_que_la_compania_mejore_la_imagen_que_proyecta_hacia_el_sector_y_sus_colaboradores;Dimension_Mejoramiento_personal;La_empresa_se_preocupa_por_mi_como_persona;La_empresa_se_preocupa_por_mi_como_profesional;Dimension_Liderazgo;Tengo_una_buena_relacion_con_mi_jefe_o_supervisor;Mi_jefe_me_motiva_a_trabajar;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_bien;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_mal;Mi_jefe_es_un_lider_para_mi;Que_tan_urgente_es_para_mi_que_mejore_la_relacion_e_interrelacion_con_mi_jefe_inmediato;Recibo_toda_la_informacion_suficiente_para_realizar_bien_mi_trabajo;Las_instrucciones_que_recibo_de_mi_jefe_son_claras;Dimension_Percepcion_del_ambiente_de_trabajo;Percibo_un_buen_ambiente_laboral;Me_siento_conectado_con_mis_companeros_de_trabajo;Me_siento_conectado_con_otras_areas_de_la_compania;Percibo_que_aprovechan_mis_talentos_y_capacidades;Percibo_que_mi_salud_fisica_y_emocional_es_buena;Estoy_estresado_(a);Percibo_que_mi_salud_financiera_es_buena;La_compania_promueve_actividades_de_bienestar;He_participado_en_actividades_de_reconocimientos_a_empleados;De_1_a_5_evalua_el_clima_laboral_de_esta_organizacion_donde_1_mal_clima_y_5_buen_clima_laboral;Dimension_Comunicacion;La_alta_direccion_manifiesta_sus_objetivos_de_tal_forma_que_se_crea_un_sentido_comun_de_mision_identidad_y_proposito_entre_los_colaboradores;Recibo_noticias_de_la_organizacion;La_compania_me_informa_sobre_los_cambios_corporativos
182;5/20/24 17:38:52;5/20/24 17:44:51;anonymous;Generación X;Masculino;Bogotá;;Bogotá;2023;Bachiller;Unión Libre;1;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
183;5/20/24 17:46:30;5/20/24 17:52:39;anonymous;Baby Boom;Masculino;Medellín;;;2020;Bachiller;Soltero (a);2;Operativo;Vigilante ;7;7;7;7;7;7;7;7;7;7;6;6;6;7;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
184;5/20/24 17:50:35;5/20/24 17:59:04;anonymous;Generación Z;Masculino;Barranquilla;Monitos;;2024;Bachiller;Unión Libre;No;Operativo;Guarda de seguridad ;7;7;6;7;7;7;7;7;7;7;7;7;6;7;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;No;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
185;5/20/24 17:57:23;5/20/24 18:00:44;anonymous;Generación Z;Femenino;Villavicencio;;;2023;Bachiller;Soltero (a);1;Operativo;Guarda de seguridad ;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;4;Si;Si;Si;Si
186;5/20/24 17:54:24;5/20/24 18:05:05;anonymous;Generación Z;Masculino;Bucaramanga;;;2022;Tecnico;Unión Libre;1;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;7;7;7;7;7;6;6;5;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;No;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
187;5/20/24 17:44:28;5/20/24 18:06:40;anonymous;Generación Z;Masculino;Villavicencio;;;2023;Bachiller;Unión Libre;3;Operativo;Guarda de seguridad ;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;No;Si;Si;Si;No;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;No;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;No;Si;Muy urgente;Si;Si;Si;Si;Si;No;Si;Si;No;No;No;No;3;Si;Si;Si;No
188;5/20/24 17:55:49;5/20/24 18:07:25;anonymous;Generación Z;Masculino;Bucaramanga;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;6;7;7;6;6;6;6;7;6;6;No;No;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Muy importante;Si;No;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;No;Si;No;Si;Si;No;3;Si;Si;Si;Si
189;5/20/24 17:54:19;5/20/24 18:08:26;anonymous;Generación Z;Masculino;Neiva;;;2024;Tecnico;Soltero (a);No;Operativo;Guarda de seguridad;7;7;6;7;7;7;7;7;7;7;7;7;6;7;7;6;7;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;No;No;No;Si;Si;Si;Si;Muy urgente;No;Si;No;Si;Si;No;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;5;Si;No;No;Si
190;5/20/24 17:44:03;5/20/24 18:17:29;anonymous;Generación Y (milenials);Masculino;Barranquilla;Monte Libano;;2022;Bachiller;Soltero (a);1;Operativo;Guarda de seguridad;7;7;3;7;7;2;7;7;7;7;7;7;3;2;7;2;1;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
191;5/20/24 18:13:25;5/20/24 18:20:54;anonymous;Generación Y (milenials);No binario;Medellín;;;2022;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;7;7;7;7;1;7;7;7;7;6;7;7;1;7;2;7;No;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;4;Si;No;No;Si
192;5/20/24 18:16:02;5/20/24 18:30:13;anonymous;Generación Y (milenials);Femenino;Medellín;;;2021;Tecnico;Unión Libre;3;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
193;5/20/24 18:23:42;5/20/24 18:31:46;anonymous;Generación Z;Masculino;Neiva;;;2024;Tecnico;Unión Libre;1;Operativo;Guarda seguridad;7;7;7;7;7;1;7;7;7;7;7;7;2;4;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
194;5/20/24 18:22:37;5/20/24 18:34:25;anonymous;Generación Z;Masculino;Medellín;;;2024;Tecnico;Soltero (a);1;Operativo;Vigilante ;7;7;5;7;7;3;7;5;7;7;7;4;6;1;7;2;7;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;No;No;No;Si;Si;Si;No;Si;Si;No;3;No;Si;No;No
195;5/20/24 18:29:55;5/20/24 18:40:57;anonymous;Generación Y (milenials);Femenino;Medellín;;;2021;Tecnico;Unión Libre;2;Operativo;Guarda;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
196;5/20/24 18:31:32;5/20/24 18:41:01;anonymous;Generación Y (milenials);Masculino;Neiva;;;2022;Bachiller;Unión Libre;2;Administrativo;Guarda de seguridad ;7;7;1;7;7;1;7;7;7;7;7;7;7;4;7;5;4;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
197;5/20/24 18:11:39;5/20/24 18:42:10;anonymous;Generación X;Femenino;Villavicencio;;;2024;Bachiller;Soltero (a);2;Operativo;Guarda  relevante;5;7;7;7;7;1;7;7;7;7;7;7;7;7;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
198;5/20/24 18:05:51;5/20/24 18:48:48;anonymous;Generación Y (milenials);Masculino;Medellín;;;2023;Bachiller;Soltero (a);2;Operativo;Vigilante ;7;7;7;7;7;1;7;7;7;7;7;7;6;7;6;4;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
199;5/20/24 18:41:42;5/20/24 18:51:56;anonymous;Generación Y (milenials);Femenino;Medellín;;;2023;Bachiller;Unión Libre;1;Administrativo;Escolta ;7;7;7;7;7;1;7;7;7;7;1;7;4;1;7;1;7;Si;Si;No;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;No;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;No;No;5;Si;Si;Si;No
200;5/20/24 18:49:26;5/20/24 19:02:26;anonymous;Generación Z;Masculino;Bogotá;;Bogotá;2023;Bachiller;Unión Libre;1;Operativo;Guarda de seguridad;7;7;3;7;7;7;7;7;7;7;7;7;4;4;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
201;5/21/24 9:13:58;5/21/24 9:44:48;anonymous;Generación Y (milenials);Masculino;Ibagué;;;2022;Bachiller;Unión Libre;1;Operativo;Guarda de seguridad ;7;7;7;7;7;1;7;7;7;7;1;1;1;1;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;No;No;Si;Si;No;Muy urgente;Si;No;No;Si;Si;Si;No;Si;Si;Muy urgente;Si;Si;Si;Si;Si;No;Si;Si;No;Si;No;No;5;Si;Si;Si;Si
202;5/21/24 9:32:46;5/21/24 9:45:53;anonymous;Generación X;Masculino;Ibagué;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda;7;7;6;7;7;7;7;7;7;7;6;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
203;5/21/24 8:33:38;5/21/24 9:51:03;anonymous;Generación Z;Masculino;Medellín;;;2023;Bachiller;Soltero (a);2;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;7;7;7;7;7;7;6;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;4;Si;Si;Si;Si
204;5/21/24 8:35:28;5/21/24 9:53:48;anonymous;Generación Z;Femenino;Villavicencio;;;2023;Bachiller;Soltero (a);2;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;7;7;7;7;7;6;6;6;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;4;Si;Si;Si;Si
205;5/21/24 8:36:26;5/21/24 9:54:01;anonymous;Generación Z;Femenino;Villavicencio;;;2022;Tecnico;Unión Libre;1;Operativo;Guarda de Seguridad;6;7;7;7;7;6;7;5;7;7;7;7;7;5;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;No;Si;Si;Si;No;Si;Si;Si;4;Si;Si;Si;Si
206;5/21/24 9:33:33;5/21/24 9:57:04;anonymous;Generación Y (milenials);Masculino;Barranquilla;Santa Marta;;2023;Bachiller;Unión Libre;2;Operativo;Guarda de seguridad ;7;7;3;7;7;7;7;7;7;7;7;7;7;7;7;1;7;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
207;5/21/24 9:21:49;5/21/24 10:00:41;anonymous;Generación Z;Femenino;Ibagué;;;2022;Tecnico;Unión Libre;No;Operativo;Guarda de seguridad ;7;7;2;7;7;2;7;7;7;7;7;2;7;3;7;7;7;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;No;No;No;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;No;No
208;5/21/24 9:56:58;5/21/24 10:03:56;anonymous;Baby Boom;Femenino;Barranquilla;Santa Marta;;2022;Bachiller;Unión Libre;3;Operativo;Guarda de seguridad ;7;7;3;7;7;7;7;7;7;7;7;7;7;7;7;7;7;No;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
209;5/21/24 10:03:14;5/21/24 10:11:47;anonymous;Generación Z;Masculino;Neiva;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;7;6;5;7;6;7;5;6;7;7;6;6;7;5;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco importante;Si;Si;Si;No;Si;Si;Si;No;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;No;Si;Si;No;Si;Si;Si;4;Si;Si;Si;Si
210;5/21/24 9:51:57;5/21/24 10:12:23;anonymous;Generación Y (milenials);Masculino;Ibagué;;;2022;Bachiller;Unión Libre;2;Operativo;Guarda de seguridad ;7;7;5;6;7;2;7;3;7;7;3;3;7;2;7;2;6;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
211;5/21/24 10:04:47;5/21/24 10:13:23;anonymous;Generación X;Masculino;Ibagué;;;2023;Bachiller;Soltero (a);No;Administrativo;Guarda;7;7;6;7;7;7;7;7;7;7;7;7;7;6;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
212;5/21/24 9:47:32;5/21/24 10:16:05;anonymous;Generación Y (milenials);Femenino;Barranquilla;Santa Marta;;2021;Bachiller;Casado (a);No;Operativo;GUARDA  DE SEGURIDAD ;7;7;6;5;7;2;7;7;7;7;7;7;7;5;7;2;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;4;Si;Si;Si;Si
213;5/21/24 10:11:38;5/21/24 10:18:31;anonymous;Generación Z;Masculino;Barranquilla;Santa Marta;;2020;Bachiller;Unión Libre;1;Operativo;Guarda de seguridad ;7;7;4;7;7;4;7;7;7;7;7;7;7;7;7;4;7;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
214;5/21/24 10:11:06;5/21/24 10:18:55;anonymous;Generación Z;Masculino;Villavicencio;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;6;2;7;6;5;7;7;7;6;7;6;6;7;6;3;7;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;No;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;3;No;Si;Si;Si
215;5/21/24 9:59:41;5/21/24 10:19:00;anonymous;Generación Z;Masculino;Ibagué;;;2024;Bachiller;Soltero (a);No;Operativo;Vigilante ;7;7;7;7;7;2;7;7;7;7;6;7;7;6;7;2;4;No;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;No;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;No;No;5;Si;Si;Si;Si
216;5/21/24 10:12:35;5/21/24 10:22:44;anonymous;Generación X;Femenino;Villavicencio;;;2024;Tecnico;Casado (a);2;Administrativo;Comercial;6;7;6;7;6;3;6;6;6;7;7;5;7;7;7;6;7;Si;No;Si;No;Si;No;Si;No;Si;No;Si;Si;Muy importante;Si;Si;Si;Si;Si;No;Si;No;Si;Muy urgente;Si;Si;Si;Si;Si;Si;No;No;No;Muy urgente;No;No;Si;Si;Si;No;Si;Si;No;No;Si;Si;5;Si;Si;Si;Si
217;5/21/24 10:12:30;5/21/24 10:29:16;anonymous;Generación Y (milenials);Masculino;Barranquilla;Santa Marta;;2020;Bachiller;Soltero (a);2;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;No;Si;Si;Si
218;5/21/24 10:31:57;5/21/24 10:38:08;anonymous;Generación Y (milenials);Masculino;Ibagué;;;2015;Profesional;Soltero (a);No;Administrativo;JEFE DE TALENTO HUMANO Y SST ;7;7;6;7;7;5;7;6;7;7;7;6;7;6;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
219;5/21/24 9:57:49;5/21/24 10:38:17;anonymous;Generación X;Masculino;Ibagué;;;2023;Bachiller;Casado (a);2;Operativo;Guarda de seguridad ;7;7;5;7;7;2;7;6;7;6;7;7;7;5;7;4;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;4;Si;Si;Si;Si
220;5/21/24 8:31:05;5/21/24 10:38:39;anonymous;Generación Z;Femenino;Medellín;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;6;5;6;5;7;2;6;6;5;6;5;5;6;5;6;4;7;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;No;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;No
221;5/21/24 10:39:33;5/21/24 10:43:42;anonymous;Generación Y (milenials);Masculino;Ibagué;;;2017;Profesional;Unión Libre;No;Operativo;Jefe de operaciones regional sur ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
222;5/21/24 10:08:38;5/21/24 10:45:20;anonymous;Generación Y (milenials);Masculino;Villavicencio;;;2024;Bachiller;Unión Libre;3;Operativo;Guarda de seguridad ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;5;Si;Si;Si;Si
223;5/21/24 10:42:38;5/21/24 10:48:10;anonymous;Generación Z;Masculino;Ibagué;;;2021;Tecnico;Unión Libre;No;Operativo;Guarda de seguridad.;7;7;6;7;6;4;4;7;6;7;7;6;6;1;7;1;7;Si;No;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;No;Si;No;No;Si;Si;Si;Muy urgente;No;Si;Si;Si;Si;No;No;Si;No;Muy urgente;Si;Si;Si;Si;Si;No;No;Si;No;No;Si;Si;3;Si;Si;No;Si
224;5/21/24 10:29:16;5/21/24 10:48:12;anonymous;Generación Y (milenials);Masculino;Barranquilla;Barranquilla;;2023;Tecnico;Unión Libre;1;Operativo;Guarda de seguridad ;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
